KNN,Decision Tree,Random Forest,Logistic Regression
"{'Accuracy': 0.7815624353582018, 'Precision': 0.7809704054514585, 'Recall': 0.7815624353582018, 'F1-Score': 0.7811247438306541}","{'Accuracy': 1.0, 'Precision': 1.0, 'Recall': 1.0, 'F1-Score': 1.0}","{'Accuracy': 1.0, 'Precision': 1.0, 'Recall': 1.0, 'F1-Score': 1.0}","{'Accuracy': 0.5666000137902503, 'Precision': 0.3210355756271118, 'Recall': 0.5666000137902503, 'F1-Score': 0.4098500865583355}"
"{'Accuracy': 0.6756652401943435, 'Precision': 0.6741958221764922, 'Recall': 0.6756652401943435, 'F1-Score': 0.67466881733198}","{'Accuracy': 0.9461694391711445, 'Precision': 0.9461858051224926, 'Recall': 0.9461694391711445, 'F1-Score': 0.9461766662143604}","{'Accuracy': 0.9645741497474178, 'Precision': 0.9647769074633382, 'Recall': 0.9645741497474178, 'F1-Score': 0.964504401953727}","{'Accuracy': 0.5666205476366678, 'Precision': 0.3210588450040774, 'Recall': 0.5666205476366678, 'F1-Score': 0.4098744210758783}"
"{'Accuracy': 0.6705287143243348, 'Precision': 0.6691233080964162, 'Recall': 0.6705287143243348, 'F1-Score': 0.6695404976618723}","{'Accuracy': 0.9456223689800333, 'Precision': 0.9456583284973509, 'Recall': 0.9456223689800333, 'F1-Score': 0.9456361848057212}","{'Accuracy': 0.9631946858224231, 'Precision': 0.9633897497799763, 'Recall': 0.9631946858224231, 'F1-Score': 0.9631295902383764}","{'Accuracy': 0.561078283706021, 'Precision': 0.31480884044649415, 'Recall': 0.561078283706021, 'F1-Score': 0.40332229809658704}"
